"","Date.x","Station.x","get_ts","get_map","Station"
"330",2021-06-30 05:27:21,"P2",0.195679600536739,0.15,"P2"
"331",2021-06-30 05:27:21,"P3",0.173630894309879,0.23,"P3"
"332",2021-07-01 17:15:31,"B2",0.267686163775044,0.12,"B2"
"333",2021-07-01 17:15:31,"I1",0.268516420934638,0.21,"I1"
"334",2021-07-01 17:15:31,"I3",0.276513870713617,0.23,"I3"
"335",2021-07-01 17:15:31,"M2",0.197731564992296,0.13,"M2"
"336",2021-07-01 17:15:31,"P1",0.189131119245882,0.18,"P1"
"337",2021-07-01 17:15:31,"P2",0.173457318058992,0.18,"P2"
"338",2021-07-01 17:15:31,"P3",0.13450360044363,0.25,"P3"
"339",2021-07-02 17:06:28,"B2",0.256559266680893,0.14,"B2"
"340",2021-07-02 17:06:28,"I1",0.26075710298893,0.24,"I1"
"341",2021-07-02 17:06:28,"I3",0.28280083964301,0.17,"I3"
"342",2021-07-02 17:06:28,"M2",0.207220489750849,0.14,"M2"
"343",2021-07-02 17:06:28,"P1",0.156673437308711,0.17,"P1"
"344",2021-07-02 17:06:28,"P2",0.168658366479379,0.16,"P2"
"345",2021-07-02 17:06:28,"P3",0.129440547189955,0.23,"P3"
"346",2021-07-06 05:26:16,"B2",0.277216432320594,0.14,"B2"
"347",2021-07-06 05:26:16,"I1",0.265240077127713,0.2,"I1"
"348",2021-07-06 05:26:16,"I3",0.276513870713617,0.23,"I3"
"349",2021-07-06 05:26:16,"M2",0.198782853757657,0.18,"M2"
"350",2021-07-06 05:26:16,"P1",0.186683314641362,0.22,"P1"
"351",2021-07-06 05:26:16,"P2",0.172656162255298,0.2,"P2"
"352",2021-07-06 05:26:16,"P3",0.173661491837198,0.22,"P3"
"353",2021-07-07 17:14:37,"B2",0.2628311238213,0.15,"B2"
"354",2021-07-07 17:14:37,"I1",0.251851267791877,0.21,"I1"
"355",2021-07-07 17:14:37,"I3",0.274190278189401,0.23,"I3"
"356",2021-07-07 17:14:37,"M2",0.190086216666483,0.15,"M2"
"357",2021-07-07 17:14:37,"P1",0.217478196851722,0.25,"P1"
"358",2021-07-07 17:14:37,"P2",0.17445191830689,0.23,"P2"
"359",2021-07-07 17:14:37,"P3",0.164964210012356,0.23,"P3"
"360",2021-07-08 17:07:11,"B2",0.297190363970244,0.2,"B2"
"361",2021-07-08 17:07:11,"I1",0.254112627362661,0.26,"I1"
"362",2021-07-08 17:07:11,"I3",0.310930907376011,0.21,"I3"
"363",2021-07-08 17:07:11,"M2",0.18601698878011,0.18,"M2"
"364",2021-07-08 17:07:11,"P1",0.270874166715581,0.24,"P1"
"365",2021-07-08 17:07:11,"P2",0.205377340154261,0.2,"P2"
"366",2021-07-08 17:07:11,"P3",0.164528148774729,0.2,"P3"
"367",2021-07-12 05:26:56,"M2",0.204031752531698,0.18,"M2"
"368",2021-07-12 05:26:56,"S4",0.186691031005367,0.25,"S4"
"369",2021-07-12 05:27:21,"P1",NA,0.24,"P1"
"370",2021-07-12 05:27:21,"P2",NA,0.17,"P2"
"371",2021-07-12 05:27:21,"P3",NA,0.23,"P3"
"372",2021-07-13 17:15:32,"M2",0.208865105226124,0.25,"M2"
"373",2021-07-13 17:15:32,"P1",NA,0.21,"P1"
"374",2021-07-13 17:15:32,"P2",NA,0.17,"P2"
"375",2021-07-13 17:15:32,"P3",NA,0.25,"P3"
"376",2021-07-13 17:15:32,"S4",0.190969013022054,0.12,"S4"
"377",2021-07-14 17:06:42,"M2",0.215911500465704,0.24,"M2"
"378",2021-07-14 17:06:42,"P1",NA,0.24,"P1"
"379",2021-07-14 17:06:42,"P2",NA,0.23,"P2"
"380",2021-07-14 17:06:42,"P3",NA,0.21,"P3"
"381",2021-07-14 17:06:42,"S4",0.208177040732832,0.32,"S4"
"382",2021-07-18 05:26:17,"M2",0.25953744915643,0.17,"M2"
"383",2021-07-18 05:26:17,"P1",NA,0.2,"P1"
