"","Station_na","Land_use","Aspect","Latitude","Longitude","Altitude","Altitude_a","Date","Pred_20m_map","SMC_map_20m"
"239","F2","Forest","South",46.69435,10.61268,1710,1700,"20201010_051803",NA,NA
"240","F1","Forest","South",46.67776,10.577797,1154,1200,"20201010_051803",NA,NA
"241","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201010_171505",0.17,NA
"242","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201010_171505",0.21,NA
"243","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201010_171505",0.14,NA
"244","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201010_171505",NA,NA
"245","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201010_171505",NA,NA
"246","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201010_171505",NA,NA
"247","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201010_171505",NA,NA
"248","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201010_171505",0.27,NA
"249","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201010_171505",0.21,NA
"250","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201010_171505",0.24,NA
"251","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201010_171505",0.23,NA
"252","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201010_171505",0.21,NA
"253","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201010_171505",NA,NA
"254","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201010_171505",NA,NA
"255","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201010_171505",NA,NA
"256","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201010_171505",0.16,NA
"257","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201010_171505",NA,NA
"258","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201010_171505",NA,NA
"259","F6","Forest","North",46.695578,10.648088,2360,2400,"20201010_171505",NA,NA
"260","F5","Forest","South",46.73886,10.68865,2090,2100,"20201010_171505",NA,NA
"261","F4","Forest","North",46.69865,10.64211,2027,2000,"20201010_171505",NA,NA
"262","F3","Forest","South",46.69759,10.60724,1985,2000,"20201010_171505",NA,NA
"263","F2","Forest","South",46.69435,10.61268,1710,1700,"20201010_171505",0.18,NA
"264","F1","Forest","South",46.67776,10.577797,1154,1200,"20201010_171505",0.18,NA
"265","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201011_051034",NA,NA
"266","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201011_051034",NA,NA
"267","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201011_051034",NA,NA
"268","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201011_051034",NA,NA
"269","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201011_051034",NA,NA
"270","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201011_051034",NA,NA
"271","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201011_051034",NA,NA
"272","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201011_051034",NA,NA
"273","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201011_051034",NA,NA
"274","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201011_051034",NA,NA
"275","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201011_051034",NA,NA
"276","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201011_051034",NA,NA
"277","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201011_051034",NA,NA
"278","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201011_051034",NA,NA
"279","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201011_051034",NA,NA
"280","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201011_051034",NA,NA
"281","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201011_051034",NA,NA
"282","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201011_051034",NA,NA
"283","F6","Forest","North",46.695578,10.648088,2360,2400,"20201011_051034",NA,NA
"284","F5","Forest","South",46.73886,10.68865,2090,2100,"20201011_051034",NA,NA
"285","F4","Forest","North",46.69865,10.64211,2027,2000,"20201011_051034",NA,NA
"286","F3","Forest","South",46.69759,10.60724,1985,2000,"20201011_051034",NA,NA
"287","F2","Forest","South",46.69435,10.61268,1710,1700,"20201011_051034",NA,NA
"288","F1","Forest","South",46.67776,10.577797,1154,1200,"20201011_051034",NA,NA
"289","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201011_170601",0.14,NA
"290","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201011_170601",0.2,NA
"291","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201011_170601",0.19,NA
"292","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201011_170601",NA,NA
"293","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201011_170601",NA,NA
"294","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201011_170601",NA,NA
"295","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201011_170601",NA,NA
"296","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201011_170601",0.18,NA
"297","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201011_170601",0.27,NA
"298","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201011_170601",0.24,NA
"299","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201011_170601",0.22,NA
"300","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201011_170601",0.17,NA
"301","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201011_170601",NA,NA
"302","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201011_170601",NA,NA
"303","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201011_170601",NA,NA
"304","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201011_170601",0.27,NA
"305","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201011_170601",NA,NA
